Model,Rok,Kilometry,Objem motoru,Výkon,Cena
Ultima Can-Am,2019,80 Km,7000 ccm,515 kW,2050000
Chevrolet Camaro,2022,10211 Km,6162 ccm,333 kW,1073000
VANDEN PLAS PRINCESS 1300,1971,0 Km,1300 ccm,,
Lincoln Original Batmobile Replica,1966,0 Km,7521 ccm,,
Ferves Ranger 4x4,1969,47255 Km,,,
DD2 COVENTRY CLIMAX,1960,0 Km,1216 ccm,,
Autobianchi BIANCHINA,1966,0 Km,,,
Land Rover Range Rover Sport  P550e Autobiography *Pln,2025,34 Km,2997 ccm,405 kW,4138000
"RAM 1500 5,7   Hemi",2013,100000 Km,,,850000
"Land Rover Defender 5,0 P525 110 V8 Carpatian",2023,38595 Km,4999 ccm,386 kW,2250000
Plymouth GTX 440 V8,1969,25000 Km,7200 ccm,290 kW,1580000
Inferno One,2025,10 Km,6162 ccm,515 kW,29900000
Spyker C8 4.2 Laviolette,2009,7651 Km,,294 kW,13833000
KTM X-Bow GT-XR 100 Limit,2023,1905 Km,2480 ccm,368 kW,9557790
Wiesmann MF5 V10 Prototyp,2007,58100 Km,,373 kW,8630000
Land Rover Range Rover SV P615 LWB,2025,10 Km,4395 ccm,452 kW,7202065
Talbot Lago T14 V8 Americ,1962,54420 Km,,70 kW,7170000
Detomaso Mangusta,1969,79509 Km,4700 ccm,225 kW,7020000
Ultima  RS LS3 V8 430bhp /TOP/,2024,1 Km,6162 ccm,316 kW,6048790
Land Rover Range Rover Brabus P530 Autobio Carbo,2023,17284 Km,4395 ccm,390 kW,5999000
NARDI SIGHINOLFI 750,1953,0 Km,,,5625000
Cadillac Escalade 6.2 V Supercharged 682HP,2024,1 Km,6162 ccm,508 kW,4999000
Land Rover Range Rover  P550e Autobiography *PLN,2024,9177 Km,2997 ccm,405 kW,4982000
Studebaker AVANTI SUPERCHARGED,1963,0 Km,4737 ccm,,4700000
Land Rover Range Rover  P440e *PanorÃ¡ma*360kamer,2023,13844 Km,2996 ccm,324 kW,3750000
Land Rover Range Rover  P510e HSE *PanorÃ¡ma*Clea,2022,51601 Km,2996 ccm,374 kW,3750000
Land Rover Range Rover Sport  P460e 3.0 I6 AWD Dynamic,2024,6265 Km,2997 ccm,338 kW,3550000
Cadillac Escalade 6.2 ESV Prem Lux Platinum,2025,1 Km,6162 ccm,313 kW,3449000
Cadillac Escalade 6.2 ESV Sport Platinum 20,2025,1 Km,6162 ccm,313 kW,3449000
Volvo  XC90 T8 AWD ULTIMATE panorama,2024,9900 Km,1969 ccm,228 kW,1446198
"Volvo V90 2,0 B5 AWD  Plus Dark AUT",2023,48179 Km,1969 ccm,173 kW,1199900
Volvo  XC90  T8 Inscription EAWD A/T,2018,150637 Km,1969 ccm,275 kW,900000
"Volvo  XC60 2,0 B5 AWD Plus Dark Pole",2023,49700 Km,1969 ccm,173 kW,867686
Volvo V60 T6 Inscription AWD A/T,2018,64502 Km,1969 ccm,228 kW,800000
"Volvo  XC40 2,0 B4 R-Design H/K BLIS",2021,44500 Km,1969 ccm,145 kW,759900
Volvo  780 CoupÃ© TURBO BERTONE,1986,119859 Km,2000 ccm,,650000
"Volvo S90 2,0 D5 AWD R-Design Auto",2020,74398 Km,1969 ccm,173 kW,1051490
Volvo  XC40 Inscription 1majitel ÄR,2020,92000 Km,,,799000
Volvo  XC40 Inscription 1majitel ÄR,2020,92000 Km,,,789000
"Volvo  XC90 2,0 D5 171kW Polestar CZ",2015,170535 Km,1969 ccm,171 kW,634999
"Volvo  XC90 0,0   AWD DRIVE-E (MoÅ¾nÃ½",2016,207300 Km,,,590000
"Volvo  XC90 2,0   INSCRIPTION 4x4 201",2016,287000 Km,,,564999
"Volvo V60 2,4 D5 AWD Aut. Summum CZ",2011,344119 Km,2400 ccm,151 kW,109999
Volvo  EX30 Twin Motor Performance Ul,2025,5 Km,,315 kW,1296960
Volvo  EX30 Twin Motor Performance Ul,2025,5 Km,,315 kW,1265760
Volvo  EX30 Single Motor Plus 272 Hp,2025,12 Km,,200 kW,943810
Volvo V60 T6 AWD Recharge*Inscripti,2021,134781 Km,1969 ccm,251 kW,639000
"Volvo V60 2,4D 158kw",2014,241054 Km,2400 ccm,158 kW,229999
Volvo  EX90 TWIN MOTOR ULTRA 408 HP,2025,25 Km,,300 kW,2748770
Volvo  EX90 TWIN MOTOR Performance UL,2025,1040 Km,,380 kW,2525910
Volvo  XC90 T8 2.0L 310+145k AT8 AWD,2025,498 Km,1969 ccm,228 kW,2163060
"Volvo  XC90 2,0 T8 AWD Recharge Ultim",2024,2440 Km,1969 ccm,228 kW,1899900
