Model,Rok,Kilometry,Objem motoru,Výkon,Cena
Rolls Royce Ghost Black Badge / Skladem,2023,2500 Km,6594 ccm,441 kW,10500000
Rolls Royce Wraith BlackBadge Novitec Starli,2019,16995 Km,6592 ccm,441 kW,9499000
Rolls Royce Cullinan Black Badge TAÅ½NÃ/MASÃÅ½E/,2022,42669 Km,6749 ccm,441 kW,8999000
Rolls Royce Wraith V12 Starlight Bespoke Noi,2018,16013 Km,6592 ccm,465 kW,6299000
"Rolls Royce Ghost BR STAR, ACC, MASÃÅ½E",2018,24000 Km,6592 ccm,420 kW,6070000
Rolls Royce Ghost Professional/Ventila ce/To,2010,37800 Km,6592 ccm,420 kW,3790000
Rolls Royce Silver Shadow,1966,0 Km,6750 ccm,NA,1000000
Rolls Royce Silver Wraith Silver Wraith II LWB,1979,8300 Km,6750 ccm,164 kW,899000
Rolls Royce Silver Shadow,1974,0 Km,6750 ccm,NA,875000
Rolls Royce Silver Spur Silver Spur II LHD Long,1991,145250 Km,6800 ccm,165 kW,850000
Rolls Royce Silver Spur Silver Spur II LHD Long,1991,145250 Km,6800 ccm,165 kW,850000
Rolls Royce Silver Spur II,1990,120000 Km,6750 ccm,165 kW,795000
Rolls Royce Silver Spirit II,1992,0 Km,6753 ccm,NA,650000
Rolls Royce Silver Shadow,1976,0 Km,6750 ccm,NA,
Rolls Royce Silver Shadow ROLLS ROYCE SILVER SHADOW II,1979,131723 Km,6750 ccm,NA,
